+---------+--------------------------------------+----------------------+---------+
| idx % 2 |                vapor                 |         nick         | n_games |
| 1       | 2adf1e5d-181a-4635-ac69-bf90ccf4201c | koen.weverbergh999   |         |
| 0       | 2b1f5df1-9ef9-4155-b885-077720187c98 | HolyMedic            |         |
| 1       | 2b22c2ad-ebda-4049-bbe7-67bc1fca28d7 | ashton956            |         |
| 0       | 2b2b1162-fd48-47aa-aa27-b1a0f64408e3 | name yes             |         |
| 1       | 2c0fd67f-7426-4216-9552-f0af95f48a3d | Ein-Mann-Apokal316   |         |
| 0       | 2c672a1f-3c75-497a-b4c2-a9670b5722f7 | Museirei             |         |
| 1       | 2cc35ae9-dd99-413b-bbd3-2e1a4ac5b024 | {ACE}RINGWRAITH{TBG} |         |
| 0       | 2cd02b64-0bc0-4112-aac2-d439964670e9 | silentcontribut544   |         |
| 1       | 2d1d40bd-69dc-4071-838c-3f8f26a93aeb | rycar.us             |         |
| 0       | 2d834f20-eaac-457e-b5c6-ceae7607b469 | [FRO]sunshineduck    | 13      |
| 1       | 2da48a86-16ab-487f-b32c-8a7f113fa399 | [D2] Robin           |         |
| 0       | 2e3bb5af-666a-45c2-a2b0-87437df8c629 | Yojimbo!             | 209     |
| 1       | 2e530e75-8166-495f-adda-a942c09c6a4c | TimeLord869          |         |
| 0       | 2ef8a1f8-7a67-4597-a84d-97ea816f1227 | ToboBagins582        |         |
| 1       | 2f17267d-7623-4c79-9601-52662b8bd667 | micktheninja106      |         |
| 0       | 30160286-c032-46e3-b8a5-6f91e985b6ab | KOLLERITO            |         |
| 1       | 302e1020-459a-41d7-b328-c7256357a110 | 123qwe624            |         |
| 0       | 30a8662c-3466-4815-9c44-f6a7a2feab38 | [BBQ] Flame          | 13      |
| 1       | 3114d28e-736b-4a0b-8e9f-77e665e5e9cb | ?????????285         |         |
| 0       | 31fe265d-a81d-408d-a3fd-74e3729091b3 | sakamo               |         |
